TMDb ID,IMDb ID,Name on IMDb,Birth Name,Spouse Name,Spouse IMDb
41553,nm0000921,Andrew Bergman, Not Found ,Louise Fay,Not Found
41561,nm0325858,Mia Goldman, Not Found , Not Found ,Not Found
41591,nm0158846,Kenneth Choi, Not Found , Not Found ,Not Found
41592,nm0820687,Stephen St. John, Not Found , Not Found ,Not Found
41606,nm0128702,Andrew Max Cahn, Not Found , Not Found ,Not Found
41607,nm0702894,Lidia Quaranta,Lidia Gemma Mattia Quaranta,Lidia Quaranta,Not Found
41608,nm0544845,Gina Marangoni, Not Found , Not Found ,Not Found
41609,nm0856422,Dante Testa, Not Found , Not Found ,Not Found
41610,nm0610618,Umberto Mozzato, Not Found , Not Found ,Not Found
41611,nm0656034,Bartolomeo Pagano, Not Found ,Camilla Balduzzi,Not Found
41612,nm0665163,Giovanni Pastrone, Not Found , Not Found ,Not Found
41614,nm0563460,Manlio Mazza, Not Found , Not Found ,Not Found
41615,nm0866527,Giovanni Tomatis, Not Found , Not Found ,Not Found
41616,nm0291879,Carlo Franzeri, Not Found , Not Found ,Not Found
41617,nm0159015,Segundo de Chomón, Not Found ,Julienne Mathieu,/name/nm0558863?ref_=nmbio_sp_1
41618,nm0158455,Natale Chiusano, Not Found , Not Found ,Not Found
41619,nm0061323,Augusto Battagliotti, Not Found , Not Found ,Not Found
41624,nm1113433,Eugenio Bava, Not Found , Not Found ,Not Found
41627,nm0415344,Claude Jaeger,Claude Paul Jaeger,Claude Jaeger,Not Found
41630,nm0719790,René Renoux, Not Found , Not Found ,Not Found
41631,nm0812743,Libero Solaroli, Not Found , Not Found ,Not Found
41632,nm0768743,Domenico Scala, Not Found , Not Found ,Not Found
41634,nm0741127,Giuseppe Rosati, Not Found , Not Found ,Not Found
41635,nm0005964,Georges Bizet,Alexandre-César-Léopold Bizet,Geneviève Halévy,Not Found
41636,nm0019563,Mario Alicata, Not Found , Not Found ,Not Found
41637,nm0059030,Luigi Bartolini, Not Found , Not Found ,Not Found
41655,nm0080755,Oreste Biancoli, Not Found , Not Found ,Not Found
41664,nm0645932,Jeff Olan, Not Found , Not Found ,Not Found
41677,nm0874908,Tseng Chang, Not Found , Not Found ,Not Found
41699,nm0917791,Wendy Weidman, Not Found , Not Found ,Not Found
41705,nm0001142,Uschi Digard,Ursula Bernell,Ron,Not Found
41706,nm0936254,Aubrey Wisberg, Not Found , Not Found ,Not Found
41709,nm0147589,Sharon Hill, Not Found ,Clayton Hill,/name/nm0384145?ref_=nmbio_sp_1
41710,nm0811580,William E. Snyder, Not Found , Not Found ,Not Found
41711,nm0445790,Walter E. Keller, Not Found , Not Found ,Not Found
41712,nm0001563,Kitten Natividad,Francesca Isabel Natividad,?,Not Found
41713,nm0832099,Peter Stone,Peter Hess Stone,Mary O'Hanley,Not Found
41714,nm0561066,Marc Maurette, Not Found , Not Found ,Not Found
41716,nm0591606,Dominique Minot, Not Found , Not Found ,Not Found
41717,nm0094585,Paul Bonifas, Not Found , Not Found ,Not Found
41720,nm0155056,Thomas Chelimsky,Tom Chelimsky,Thomas Chelimsky,Not Found
41730,nm0661577,Jerry Paris,William Gerald Paris,Ruth Benjamin,Not Found
41734,nm0176946,Carole Cook,Mildred Frances Cook,Tom Troupe,/name/nm0873773?ref_=nmbio_sp_1
41735,nm0203617,Brian Davies, Not Found ,Erika Slezak,/name/nm0805785?ref_=nmbio_sp_1
41736,nm0829872,Tom Stewart, Not Found , Not Found ,Not Found
41742,nm1124621,Patricia Carr,Patricia Ann Wilson,Tom Bosley,/name/nm0098014?ref_=nmbio_sp_1
41747,nm0411570,Ravil Isyanov, Not Found , Not Found ,Not Found
41748,nm0004230,Frank Loesser,Frank Henry Loesser,Jo Sullivan,/name/nm1692989?ref_=nmbio_sp_1
41749,nm0086176,Vivian Blaine,Vivian Stapleton,Stuart Clark,Not Found
41750,nm0798721,Johnny Silver,John Silver,Gloria Manos,/name/nm0543617?ref_=nmbio_sp_1
41751,nm0502766,Sheldon Leonard,Leonard Sheldon Bershad,Frances Bober,/name/nm8710498?ref_=nmbio_sp_1
41753,nm0442228,Millard Kaufman, Not Found ,Lorraine Kaufman,Not Found
41754,nm0334435,Edmund Grainger,James Edmund Grainger,Edmund Grainger,Not Found
41755,nm0676462,Hans Peters, Not Found , Not Found ,Not Found
41756,nm0002046,Brian Donlevy,Waldo Brian Donlevy,Lillian Arch Lugosi,Not Found
41777,nm0106248,Robert Bray,Robert Eugene Bray,Dorothy Ann Harnisch,Not Found
41779,nm0059026,Elio Bartolini, Not Found ,Gioconda Dozzi,Not Found
41780,nm0900143,Monica Vitti,Maria Luisa Ceciarelli,Roberto Russo,/name/nm0751721?ref_=nmbio_sp_1
41781,nm0750879,Esmeralda Ruspoli,Smeralda Giovanna Amelia Palma Maria dei Principi Ruspoli,Giancarlo Sbragia,/name/nm0768640?ref_=nmbio_sp_1
41784,nm0071847,Manu Bennett,Jonathan Manu Bennett,Manu Bennett,/name/nm0768640?ref_=nmbio_sp_1
41785,nm0498731,Nathaniel Lees, Not Found , Not Found ,Not Found
41829,nm0864835,Joel Tobeck,Joel Bryan Tobeck,Joel Tobeck,Not Found
41831,nm0736864,Eric Rogers,Eric Gaukroger,Eric Rogers,Not Found
41832,nm0183244,Lionel Couch,Lionel Ernest Couch,Lionel Couch,Not Found
41837,nm0146593,Jack Causey, Not Found ,Mary Byrne,Not Found
41840,nm0062123,Ralph Baum, Not Found , Not Found ,Not Found
41957,nm0524944,Archie Ludski,Arnold Adolph Ludski,Archie Ludski,Not Found
41958,nm0827137,Robert Stephens,Robert Graham Stephens,Patricia Quinn,/name/nm0703946?ref_=nmbio_sp_1
41965,nm0281866,Robert Flemyng, Not Found ,Carmen Martha Sugars,Not Found
41985,nm0343857,Sylvester Groth, Not Found , Not Found ,Not Found
41998,nm0869565,Tamara Toumanova,Tamara Vladimirovna Tumanova,Casey Robinson,/name/nm0732452?ref_=nmbio_sp_1
41999,nm0413561,Gordon Jackson,Gordon Cameron Jackson,Rona Anderson,/name/nm0027386?ref_=nmbio_sp_1
42000,nm0337093,Diane Grayson,Diane Guinibert,Diane Grayson,/name/nm0027386?ref_=nmbio_sp_1
42001,nm0139732,Jane Carr, Not Found ,Mark Arnott,/name/nm0036724?ref_=nmbio_sp_1
42006,nm0824363,Shirley Steedman, Not Found , Not Found ,Not Found
42032,nm0235684,Ned Dowd, Not Found , Not Found ,Not Found
42034,nm0289031,Ian Fox, Not Found , Not Found ,Not Found
42036,nm0751169,Greg P. Russell, Not Found , Not Found ,Not Found
42037,nm0038598,Kami Asgar, Not Found , Not Found ,Not Found
42060,nm0949991,Rick Young, Not Found , Not Found ,Not Found
42061,nm0291548,Sidney Franklin,Sidney Arnold Franklin,Enid Bennett,/name/nm0071746?ref_=nmbio_sp_1
42062,nm0014703,Marian Ainslee,Marian Conklin,Albert Coonley,Not Found
42063,nm0191956,Ruth Cummings, Not Found ,Irving Cummings,/name/nm0191899?ref_=nmbio_sp_1
42064,nm0473134,Hanns Kräly, Not Found , Not Found ,Not Found
42065,nm0770337,Richard Schayer, Not Found ,Aletha Prater,Not Found
42086,nm0626308,Conrad A. Nervig,Conrad Albinus Nervig,Conrad A. Nervig,Not Found
42108,nm5202214,John Isaacs, Not Found , Not Found ,Not Found
42109,nm0519678,Deborah Loomis, Not Found , Not Found ,Not Found
42113,nm0253359,Taina Elg, Not Found ,Rocco Caporale,Not Found
42114,nm0455394,Zalman King,Zalman King Lefkowitz,Patricia Louisianna Knop,/name/nm0461341?ref_=nmbio_sp_1
42149,nm0461341,Patricia Louisianna Knop, Not Found ,Zalman King,/name/nm0455394?ref_=nmbio_sp_1
42155,nm0126653,Willi Bär, Not Found , Not Found ,Not Found
42157,nm0436001,Helena Kallianiotes, Not Found , Not Found ,Not Found
42161,nm0000893,Ed Begley Jr.,Edward James Begley Jr.,Rachelle Carson,/name/nm0141308?ref_=nmbio_sp_1
42162,nm0246852,Evelyn Döhring, Not Found , Not Found ,Not Found
42168,nm0141268,John David Carson,John Franklin Carson,Diana Carson,Not Found
42171,nm0279297,Nancy Fish,Nancy Gayle Fisch,Ralph Harper Silver,/name/nm2519449?ref_=nmbio_sp_1
42174,nm0438279,Jonathan Kaplan, Not Found ,Julie Selzer,/name/nm0783669?ref_=nmbio_sp_1
42180,nm0001464,Kay Lenz,Kay Ann Lenz,David Cassidy,/name/nm0144180?ref_=nmbio_sp_1
42200,nm0888399,Bobby Van,Robert Jack Stein,Elaine Joyce,/name/nm0431519?ref_=nmbio_sp_1
42206,nm0517448,Lennie Loftin, Not Found ,DeLane Matthews,/name/nm0559993?ref_=nmbio_sp_1
42226,nm0566783,Matt McCoy, Not Found ,?,Not Found
42261,nm0751406,Regina Russell Banali, Not Found ,Frankie Banali,/name/nm2104524?ref_=nmbio_sp_1
42264,nm0155259,Jerome Chen, Not Found , Not Found ,Not Found
42265,nm0520083,Jacqueline Lopez, Not Found , Not Found ,Not Found
42267,nm0865014,Peter M. Tobyansen, Not Found , Not Found ,Not Found
42268,nm0858378,Randy Thom, Not Found , Not Found ,Not Found
42269,nm0003666,Debbie Denise, Not Found , Not Found ,Not Found
42270,nm0707822,Ken Ralston, Not Found , Not Found ,Not Found
42277,nm1237052,Sean Phillips, Not Found , Not Found ,Not Found
42283,nm0459647,Martin A. Kline, Not Found , Not Found ,Not Found
42290,nm0834823,Carin-Anne Strohmaier, Not Found ,David Strohmaier,/name/nm0834824?ref_=nmbio_sp_1
42291,nm0240474,Shay Duffin, Not Found , Not Found ,Not Found
42308,nm0055444,Jacquie Barnbrook, Not Found , Not Found ,Not Found
42358,nm0823462,Beau Starr,Beau William Starr Jr.,Beau Starr,Not Found
42360,nm0101921,Steven J. Boyd, Not Found , Not Found ,Not Found
42362,nm0092694,Scot Boland, Not Found , Not Found ,Not Found
42392,nm0214430,Eddie Deezen,Edward Harry Dezen,Linda George,Not Found
42406,nm0860185,Grant Thompson, Not Found , Not Found ,Not Found
42408,nm0423617,Carol Joffe, Not Found ,Charles H. Joffe,/name/nm0423618?ref_=nmbio_sp_1
42409,nm0188096,Dhia Cristiani, Not Found ,Giuseppe Ventriglia,Not Found
42410,nm0546222,Elio Marcuzzo, Not Found , Not Found ,Not Found
42411,nm0723168,Michele Riccardini, Not Found , Not Found ,Not Found
42416,nm0484385,Juan de Landa,Juan Pisón Pagoaga y Landa,Juan de Landa,Not Found
42417,nm0536009,Lamberto Maggiorani, Not Found , Not Found ,Not Found
42419,nm0821543,Enzo Staiola, Not Found , Not Found ,Not Found
42421,nm0136794,Lianella Carell, Not Found , Not Found ,Not Found
42423,nm0413063,Carlo Jachino, Not Found , Not Found ,Not Found
42545,nm0157058,Giulio Chiari, Not Found , Not Found ,Not Found
42547,nm0000465,Ron Jeremy,Ronald Jeremy Hyatt,Ron Jeremy,Not Found
42557,nm0010264,Jay Acovone,John Joseph Iacovone,Fonda St. Paul,/name/nm3522478?ref_=nmbio_sp_1
42567,nm0004897,John Enos III, Not Found ,Jennie Lee,Not Found
42570,nm0548440,Kika Markham, Not Found ,Corin Redgrave,/name/nm0714874?ref_=nmbio_sp_1
42572,nm0376405,Don Henderson,Donald Francis Henderson,Shirley Stelfox,/name/nm0826273?ref_=nmbio_sp_1
42574,nm0717189,Beryl Reid,Beryl Elizabeth Reid,Derek Franklin,Not Found
42610,nm0611351,Gavin Muir,Gaven Muir,Frances Logan,Not Found
42620,nm0431521,Emily Joyce,Emily Sian Joyce,Adam M. Astle,Not Found
42621,nm0049407,John Balamos, Not Found , Not Found ,Not Found
42622,nm0495879,Leo Lebowitz, Not Found , Not Found ,Not Found
42686,nm0651604,Aaron Osborne,Aaron M. Osborne,Colleen Cochran,/name/nm0168149?ref_=nmbio_sp_1
42820,nm0648153,Ty Olsson,Tyler Olsson,Leanna Nash,/name/nm1638220?ref_=nmbio_sp_1
42824,nm0807291,Amber Smith,Amber Lee Smith,Amber Smith,/name/nm1638220?ref_=nmbio_sp_1
42841,nm0031078,Steve Antin,Steven Howard Antin,Steve Antin,/name/nm1638220?ref_=nmbio_sp_1
42843,nm0356101,Shashawnee Hall,Shashawnee E. Hall,Shashawnee Hall,/name/nm1638220?ref_=nmbio_sp_1
42847,nm0576851,John Meillon, Not Found ,Bunny Gibson,/name/nm6733519?ref_=nmbio_sp_1
42848,nm0578479,Herman Melville, Not Found ,Elizabeth Shaw,Not Found
42849,nm0704184,Umberto Paolo Quintavalle,Uberto Paolo Quintavalle,Josephine Quintavalle,Not Found
42850,nm0268668,Sergio Fascetti, Not Found , Not Found ,Not Found
42851,nm0615888,Bruno Musso, Not Found , Not Found ,Not Found
42852,nm0580989,Franco Merli, Not Found , Not Found ,Not Found
42853,nm0592902,Rinaldo Missaglia, Not Found , Not Found ,Not Found
42854,nm0666002,Giuseppe Patruno, Not Found , Not Found ,Not Found
42855,nm0302816,Guido Galletti, Not Found , Not Found ,Not Found
42856,nm0262250,Efisio Etzi, Not Found , Not Found ,Not Found
42857,nm0873258,Claudio Troccoli, Not Found , Not Found ,Not Found
42858,nm0579622,Fabrizio Menichini, Not Found , Not Found ,Not Found
42859,nm0883468,Maurizio Valaguzza, Not Found , Not Found ,Not Found
42860,nm0543189,Ezio Manni, Not Found , Not Found ,Not Found
42882,nm0208563,Elsa De Giorgi,Elsa Giorgi Alberti,Sandro Contini Bonacossi,Not Found
42910,nm0026692,Erika Anderson,Erika Marie Anderson,Erika Anderson,Not Found
42961,nm0777451,Stephen Schwartz, Not Found ,Carole Piasecki,Not Found
42993,nm0522550,Jacqueline Lovell,Jacqueline Marie Pugh,Edward Nyahay,/name/nm0638448?ref_=nmbio_sp_1
42995,nm0233027,Martin Donovan,Martin Paul Smith,Vivian Lanko,/name/nm0486910?ref_=nmbio_sp_1
43010,nm0386878,Paul Hitchcock, Not Found , Not Found ,Not Found
43024,nm0740951,Thomas Rosales Jr., Not Found ,Charlene Jones,Not Found
43092,nm0291569,Vincent Franklin,Vincent Warren Franklin,Vincent Franklin,Not Found
43099,nm0486007,Doug Langdale, Not Found ,Candie Langdale,/name/nm5775160?ref_=nmbio_sp_1
43115,nm0852244,Deane Taylor, Not Found , Not Found ,Not Found
43120,nm0820527,Clement von Franckenstein,Clement George Freiherr von und zu Franckenstein,Clement von Franckenstein,Not Found
43125,nm0004873,Andy Dick,Andrew Roane Dick,Ivone Kowalczyk,Not Found
43192,nm0667326,Rob Paulsen,Robert Fredrick Paulsen III,Parrish Todd,/name/nm6477350?ref_=nmbio_sp_1
43202,nm0074253,Katya Berger, Not Found , Not Found ,Not Found
43240,nm1662644,Antje Traue, Not Found , Not Found ,Not Found
43241,nm0436422,Luciano Rossi, Not Found , Not Found ,Not Found
43263,nm0234581,Attilio Dottesio, Not Found , Not Found ,Not Found
43364,nm0167626,Conrad Coates, Not Found , Not Found ,Not Found
43388,nm0559977,Dakin Matthews,Melvin Richard Matthews,Anne Marie McNaughton,/name/nm2717558?ref_=nmbio_sp_1
43393,nm0292513,Jane Frazer, Not Found , Not Found ,Not Found
43461,nm0006077,Robert Folk, Not Found , Not Found ,Not Found
43464,nm0401352,Endre Hules, Not Found , Not Found ,Not Found
43470,nm0024511,John Patrick Amedori, Not Found , Not Found ,Not Found
43476,nm0910972,Linda Wang,Linda Hsien Wang,Linda Wang,Not Found
43486,nm0916050,Chloe Webb, Not Found ,John Thomas Gelder,Not Found
43496,nm0790533,Robert Sheckley, Not Found ,Gail Dana,Not Found
43524,nm0740694,Suzanne Roquette, Not Found , Not Found ,Not Found
43529,nm0732455,Charles Robinson, Not Found ,Dolorita Noonan-Robinson,/name/nm2749906?ref_=nmbio_sp_1
43547,nm0452654,Jan Kiesser, Not Found , Not Found ,Not Found
43555,nm1996829,Nonso Anozie, Not Found , Not Found ,Not Found
43615,nm0590875,Mina E. Mina, Not Found , Not Found ,Not Found
43624,nm0377821,Erik Henry, Not Found , Not Found ,Not Found
43626,nm0534013,Kenneth MacMillan, Not Found , Not Found ,Not Found
43628,nm0116932,Dora Bryan,Dora May Broadbent,Bill Lawton,/name/nm3857964?ref_=nmbio_sp_1
43703,nm0195291,Mirella D'Angelo, Not Found , Not Found ,Not Found
43704,nm0093257,Manolo Bolognini, Not Found , Not Found ,Not Found
43705,nm0744017,Franco Rossellini, Not Found , Not Found ,Not Found
43707,nm0699752,Luciano Puccini, Not Found , Not Found ,Not Found
43722,nm0210064,Marcella De Marchis, Not Found ,Roberto Rossellini,/name/nm0744023?ref_=nmbio_sp_1
43723,nm0320765,Antonio Girasante, Not Found , Not Found ,Not Found
43724,nm0211850,Alberto De Stefanis, Not Found , Not Found ,Not Found
43726,nm0143734,Tatiana Casini Morigi, Not Found , Not Found ,Not Found
43772,nm0643836,Enzo Ocone, Not Found , Not Found ,Not Found
43773,nm0940052,Tom Wood, Not Found ,Jenifer,Not Found
43774,nm0441537,Andreas Katsulas,Andrew Constantine Katsulas,Marva,Not Found
43775,nm0736263,Daniel Roebuck,Daniel James Roebuck,Tammy Roebuck,/name/nm2795999?ref_=nmbio_sp_1
43776,nm0528331,Jane Lynch,Jane Marie Lynch,Lara Embry,/name/nm5832853?ref_=nmbio_sp_1
43777,nm0283568,Neil Flynn,Neil Richard Flynn,Neil Flynn,/name/nm5832853?ref_=nmbio_sp_1
43784,nm0400403,Roy Huggins,Roy Marshall Huggins,Adele Mara,/name/nm0544711?ref_=nmbio_sp_1
43785,nm0006320,Maurice Thiriet, Not Found , Not Found ,Not Found
43786,nm0094674,Madeleine Bonin, Not Found , Not Found ,Not Found
43789,nm0541677,Robert Mandel, Not Found , Not Found ,Not Found
43790,nm0392519,Seth Holt,James Aubrey G. B. Holt,Sarah Turquand-Young,Not Found
43791,nm0142639,Tristram Cary,Tristram Ogilvie Cary,Jane Delin,Not Found
43792,nm0337754,Danny Green, Not Found , Not Found ,Not Found
43798,nm0370868,Sidney Hayers, Not Found ,Erika Remberg,/name/nm0718878?ref_=nmbio_sp_1
43800,nm0609859,Peggy Mount,Margaret Rose Mount,Peggy Mount,/name/nm0718878?ref_=nmbio_sp_1
43803,nm0219430,Charles Dennis, Not Found ,Ulrika Vingsbo-Dennis,Not Found
43805,nm0921956,Brian West, Not Found , Not Found ,Not Found
43810,nm0827298,Pamela Stephenson,Pamela Helen Stephenson,Billy Connolly,/name/nm0175262?ref_=nmbio_sp_1
43811,nm0670958,Georges Pellegrin, Not Found , Not Found ,Not Found
43812,nm0529646,Eugène Lépicier, Not Found , Not Found ,Not Found
43813,nm0095093,Monique Bonnot, Not Found , Not Found ,Not Found
43814,nm0561070,Yolande Maurette, Not Found , Not Found ,Not Found
43815,nm0217677,Nathalie Delon,Francine Canovas,Alain Delon,/name/nm0001128?ref_=nmbio_sp_1
43816,nm0742975,Cathy Rosier,Catherine Léro,Norbert Lemoine,Not Found
43819,nm0208111,Frederick De Cordova,Frederick Timmins De Cordova,Janet De Cordova,/name/nm1689633?ref_=nmbio_sp_1
43821,nm0263885,Tom Ewell,Samuel Yewell Tompkins,Marjorie Sanborn,Not Found
43822,nm0894447,Harold Vermilyea, Not Found , Not Found ,Not Found
43823,nm0716279,Richard Reeves,Richard Jourdan Reeves,Richard Reeves,Not Found
43824,nm0026802,Herbert Anderson, Not Found ,Mary Virginia Palmer,Not Found
43825,nm0086636,Madge Blake, Not Found ,James Lincoln Blake,Not Found
43826,nm0113686,Harris Brown, Not Found , Not Found ,Not Found
43827,nm0163902,Edward Clark, Not Found , Not Found ,Not Found
43834,nm0283130,Elizabeth Flournoy,Elizabeth Edwards,Elizabeth Flournoy,Not Found
43835,nm0857222,Otis Thayer, Not Found , Not Found ,Not Found
43836,nm0581499,Violet Mersereau, Not Found , Not Found ,Not Found
43840,nm0167760,Edmund Cobb,Edmund Fessenden Cobb,Vivian Marie Winter,Not Found
43843,nm0727497,Mary Roberts Rinehart,Mary Ella Roberts,Stanley Rinehart,Not Found
43849,nm0366002,John Harron,John Thomas Harron,Betty Westmore,/name/nm0250654?ref_=nmbio_sp_1
43857,nm0272450,Helen Ferguson, Not Found ,Richard L. Hargreaves,Not Found
43858,nm0287841,Helen Foster, Not Found , Not Found ,Not Found
43866,nm0403652,Ryan Hurst,Ryan Douglas Hurst,Molly Cookson,/name/nm2810995?ref_=nmbio_sp_1
43869,nm0922503,Gordon Westcott,Myrthus Hickman,Margaret Cardon,Not Found
43910,nm0733513,Lavelle Roby, Not Found , Not Found ,Not Found
43922,nm0910891,Fu-Ling Wang, Not Found , Not Found ,Not Found
43931,nm0805994,Michael Sloan, Not Found ,Melissa Sue Anderson,/name/nm0000757?ref_=nmbio_sp_1
43933,nm0601092,Darren Moore, Not Found , Not Found ,Not Found
43978,nm0234235,Adrien Dorval, Not Found ,Angela Cruikshank,/name/nm0189999?ref_=nmbio_sp_1
43982,nm0537089,John Mahon,John Patrick Mahon,Margaret Jean Street,Not Found
43992,nm2489804,Michael Rauch,Michael Jay Rauch,Vibeke Arntzen,/name/nm0036814?ref_=nmbio_sp_1
44006,nm0360272,Bob Hannah, Not Found , Not Found ,Not Found
44017,nm0421230,Paul Jennings, Not Found , Not Found ,Not Found
44018,nm0847163,Michio Takahashi, Not Found , Not Found ,Not Found
44019,nm0153898,Jasmine Chasney, Not Found , Not Found ,Not Found
44020,nm0765533,Anne Sarraute, Not Found , Not Found ,Not Found
44021,nm0202072,Stella Dassas, Not Found , Not Found ,Not Found
44036,nm0053289,Pierre Barbaud, Not Found , Not Found ,Not Found
44037,nm0591160,Michael Miner, Not Found , Not Found ,Not Found
44038,nm0624485,Sol Negrin, Not Found ,Betty Paradisin,Not Found
44042,nm0000262,Nancy Allen,Nancy Anne Allen,Randy Bailey,Not Found
44043,nm0675066,Felton Perry, Not Found , Not Found ,Not Found
44046,nm0324795,Jesse D. Goins, Not Found , Not Found ,Not Found
44047,nm0954434,Deborah Zeitman, Not Found , Not Found ,Not Found
44048,nm0414997,Justine Jacoby, Not Found , Not Found ,Not Found
44049,nm0783669,Julie Selzer, Not Found , Not Found ,Not Found
44050,nm0000873,Belinda Bauer,Belinda Jane Taubman,Belinda Bauer,Not Found
44051,nm0532478,Mario Machado, Not Found ,Marie Christine D'Almada Remedios,Not Found
44052,nm0004957,Leeza Gibbons,Leeza Kim Gibbons,Steve Fenton,/name/nm0272087?ref_=nmbio_sp_1
44054,nm0408834,John Ingle,John Houston Ingle,Grace-Lynne Martin,Not Found
44055,nm0114578,Roger Aaron Brown, Not Found ,Janet Mitsui,Not Found
44062,nm0198925,Gabriel Damon,Gabriel Damon Lavezzi,Angela Almanza,Not Found
44064,nm0625930,S.D. Nemeth, Not Found , Not Found ,Not Found
44079,nm0442190,Ken Kaufman, Not Found , Not Found ,Not Found
44103,nm0001648,Charlotte Rampling,Charlotte Tessa Rampling,Jean-Michel Jarre,/name/nm0418882?ref_=nmbio_sp_1
44104,nm0280584,Richard Fitzpatrick, Not Found , Not Found ,Not Found
44105,nm0904371,Milena Vukotic, Not Found , Not Found ,Not Found
44106,nm0537811,Maria Gabriella Maione, Not Found , Not Found ,Not Found
44109,nm0235367,Georges Douking,Georges Ladoubee,Georges Douking,Not Found
44110,nm0221063,Anne-Marie Deschodt, Not Found ,Louis Malle,/name/nm0001501?ref_=nmbio_sp_1
44111,nm0039967,Adriana Asti, Not Found ,Giorgio Ferrara,/name/nm0273978?ref_=nmbio_sp_1
44112,nm0672967,Hélène Perdrière, Not Found , Not Found ,Not Found
44114,nm0685603,Pierre-François Pistorio, Not Found , Not Found ,Not Found
44119,nm0971239,Simon J. Smith, Not Found , Not Found ,Not Found
44123,nm0282080,Nick Fletcher, Not Found , Not Found ,Not Found
44127,nm2357967,Kevin Andrus, Not Found , Not Found ,Not Found
44150,nm0005092,Larry King,Lawrence Harvey Zeiger,Shawn Ora Engemann,/name/nm0257343?ref_=nmbio_sp_1
44155,nm0542558,Blu Mankuma, Not Found , Not Found ,Not Found
44178,nm0019528,Hrant Alianak, Not Found , Not Found ,Not Found
44203,nm0192003,Gregory Scott Cummins, Not Found , Not Found ,Not Found
44205,nm0356590,Lori Hallier, Not Found , Not Found ,Not Found
44208,nm0711595,Jeremy Ratchford, Not Found , Not Found ,Not Found
44217,nm0000911,Nigel Bennett, Not Found ,First wife,Not Found
44261,nm0674518,Charles Perrault, Not Found ,Marie Guichon,Not Found
44275,nm0748270,John Rubinstein,John Arthur Rubinstein,Bonnie Burgess,Not Found
44301,nm0243024,Rosemary Dunsmore, Not Found , Not Found ,Not Found
44349,nm0002037,Cliff De Young,Clifford Tobin DeYoung,Gypsi DeYoung,/name/nm0223399?ref_=nmbio_sp_1
44350,nm0902026,Hans von Borsody,Hans Eduard Herbert von Borsody,Karin Dittmann,Not Found
44358,nm0553074,Skip Martin,Derek George Horowitz,Skip Martin,Not Found
44408,nm0930603,Fred Williams,Friedrich Wilhelm Löcherer,Claudia Löcherer,/name/nm7828830?ref_=nmbio_sp_1
44419,nm0861219,André Thorent, Not Found , Not Found ,Not Found
44421,nm0148149,Peter Cellier,Peter F. Cellier,Peter Cellier,Not Found
44424,nm0537706,Elisa Mainardi, Not Found , Not Found ,Not Found
44439,nm0599539,Elisa Montés,Elisa Ruiz Penella,Antonio Ozores,/name/nm0654843?ref_=nmbio_sp_1
44441,nm0892927,Véronique Vendell,Claude Marie Rose Duraffourd,Wolf C. Hartwig,/name/nm0367322?ref_=nmbio_sp_1
44443,nm0880890,Ellen Umlauf, Not Found ,Albert Rueprecht,/name/nm0749195?ref_=nmbio_sp_1
44482,nm0563005,Rosl Mayr,Rosa Mayr,Rosl Mayr,/name/nm0749195?ref_=nmbio_sp_1
44550,nm0333747,Robert Graf, Not Found , Not Found ,Not Found
44560,nm0155395,Tina Chen, Not Found , Not Found ,Not Found
44571,nm0756651,Hubert Saint-Macary, Not Found , Not Found ,Not Found
44591,nm0006006,David Chudnow, Not Found , Not Found ,Not Found
44619,nm0512854,John F. Link Sr., Not Found , Not Found ,Not Found
44633,nm0774926,Bob Schott,Robert Schott,Bob Schott,Not Found
44634,nm0003545,Christopher Ball, Not Found , Not Found ,Not Found
44645,nm0879084,William Tyrer, Not Found , Not Found ,Not Found
44651,nm0232834,Brendan Donnison, Not Found , Not Found ,Not Found
44656,nm0241222,Ken Duken, Not Found ,Marisa Leonie Bach,/name/nm1314179?ref_=nmbio_sp_1
44676,nm0732299,Herb Robins,Herb Rabinowitz,Herb Robins,/name/nm1314179?ref_=nmbio_sp_1
44686,nm0268428,Dal McKennon,Raymond Dallas McKennon Jr.,Betty Warner,Not Found
44688,nm0201688,Henry Darrow,Enrique Tomás Delgado,Lauren Levinson,/name/nm0506063?ref_=nmbio_sp_1
44691,nm0319643,Marc Gilpin, Not Found ,Kaki Gilpin,Not Found
44694,nm0599837,Lee Montgomery,Elliott Harcourt Montgomery,Lee Montgomery,Not Found
44695,nm0053099,Fred Baratta, Not Found , Not Found ,Not Found
44696,nm0376138,Anouska Hempel,Ann Geissler,Mark Aubrey Weinberg,Not Found
44700,nm0052675,Thomas Baptiste,Frederick Eustance Thomas Anthony Baptiste,Thomas Baptiste,Not Found
44714,nm0789001,Anthony Sharp,Dennis Anthony John Sharp,Margaret Wedlake,/name/nm1580221?ref_=nmbio_sp_1
44715,nm0001247,Eva Gabor, Not Found ,Frank Jameson,/name/nm1958704?ref_=nmbio_sp_1
44728,nm0001248,Zsa Zsa Gabor,Sári Gábor,Frédéric von Anhalt,/name/nm1577566?ref_=nmbio_sp_1
44750,nm0593192,Cameron Mitchell,Cameron McDowell Mitzell,Margaret Brock Johnson Mozingo,Not Found
44762,nm0204501,Donald A. Davis, Not Found , Not Found ,Not Found
44763,nm0009969,Forrest J. Ackerman,Forrest James Ackerman,"Mathilde ""Wendayne"" Wahrman",Not Found
